Year,Northeast (cows),Lake States (cows),Corn Belt (cows),Northern Plains (cows),Appalachia (cows),Southeast (cows),Delta States (cows),Southern Plains (cows),Mountain (cows),West Coast (cows),Other States (cows),United States (cows),Northeast (yield lb/cow),Lake States (yield lb/cow),Corn Belt (yield lb/cow),Northern Plains (yield lb/cow),Appalachia (yield lb/cow),Southeast (yield lb/cow),Delta States (yield lb/cow),Southern Plains (yield lb/cow),Mountain (yield lb/cow),West Coast (yield lb/cow),Other States (yield lb/cow),United States (yield lb/cow),Northeast (million lb produced),Lake States (million lb produced),Corn Belt (million lb produced),Northern Plains (million lb produced),Appalachia (million lb produced),Southeast (million lb produced),Delta States (million lb produced),    Mississippi (million lb produced),    Arkansas (million lb produced),    Louisiana (million lb produced),Southern Plains (million lb produced),Mountain (million lb produced),West Coast (million lb produced),Other States (million lb produced),United States (million lb produced)
1970,2306.4,3196.0,1814.0,682.0,1044.0,523.0,440.0,497.0,454.4,1028.0,14.7 ,"11,999.5 ",10502.94832,10223.09136,9555.67806,8722.8739,7856.321839,7936.902486,6415.909091,8682.092555,10259.6831,12177.0428,10620.15504,9750.95629,24224,32673,17334,5949,8202,4151,2823,1049,685,1089,4315,4662,12518,155.6,117007
1971,2267.1,3194.0,1769.0,658.0,1004.0,523.0,424.0,495.0,452.4,1038.0,14.5 ,"11,839.0 ",10748.53337,10413.90106,9784.05879,8893.617021,8183.266932,8237.09369,6693.396226,9088.888889,10647.65694,12473.98844,10390.625,10014.87457,24368,33262,17308,5852,8216,4308,2838,1011,698,1129,4499,4817,12948,150.1,118566
1972,2233.5,3190.0,1730.0,639.0,965.0,523.0,405.0,494.0,450.4,1056.0,14.5 ,"11,700.0 ",10754.86904,10586.83386,9994.219653,9114.241002,8693.264249,8489.483748,7044.444444,9261.133603,11090.1421,12984.84848,10640.625,10258.52991,24021,33772,17290,5824,8389,4440,2853,993,728,1132,4575,4995,13712,153.8,120025
1973,2180.9,3144.0,1658.0,616.0,916.0,502.0,379.0,485.0,449.9,1068.0,14.5 ,"11,413.0 ",10447.52167,10289.12214,9916.164053,9306.818182,8624.454148,8551.792829,7171.503958,9113.402062,11153.58969,12807.1161,10781.25,10119.25874,22785,32349,16441,5733,7900,4293,2718,950,706,1062,4420,5018,13678,156.1,115491
1974,2195.1,3109.0,1602.0,598.0,878.0,483.0,358.0,473.0,450.2,1069.0,14.6 ,"11,230.0 ",10541.66097,10435.83146,9998.127341,9200.668896,8949.886105,8877.846791,7463.687151,9549.682875,11279.43136,13014.03181,10775.1938,10292.61799,23140,32445,16017,5502,7858,4288,2672,907,706,1059,4517,5078,13912,157.1,115586
1975,2217.7,3107.0,1561.0,583.0,861.0,474.0,346.0,452.0,450.8,1072.0,14.7 ,"11,139.0 ",10621.36448,10382.04055,10024.34337,9084.048027,9236.933798,9229.957806,7621.387283,9442.477876,11271.07365,13213.6194,11145.03817,10359.7989,23555,32257,15648,5296,7953,4375,2637,876,707,1054,4268,5081,14165,162.8,115398
1976,2205.8,3090.0,1541.0,560.0,845.0,471.0,338.0,437.0,446.7,1083.0,14.7 ,"11,032.0 ",11000.09067,11053.39806,10404.28293,9739.285714,9813.017751,9624.203822,7869.822485,10093.82151,11593.9109,13882.73315,11212.12121,10893.7636,24264,34155,16033,5454,8292,4533,2660,862,710,1088,4411,5179,15035,164,120180
1977,2194.2,3071.0,1524.0,540.0,834.0,460.0,328.0,431.0,443.9,1104.0,14.5 ,"10,945.0 ",11226.41509,11489.74275,10607.61155,9985.185185,10112.70983,9789.130435,8146.341463,10422.27378,12034.24195,14102.35507,11538.46154,11206.43216,24633,35285,16166,5392,8434,4503,2672,858,725,1089,4492,5342,15569,166.4,122654
1978,2169.7,3051.0,1464.0,515.0,818.0,450.0,317.0,424.0,448.3,1132.0,14.3 ,"10,803.0 ",11449.50915,11515.56867,10608.60656,9871.84466,9913.202934,9831.111111,8290.22082,10667.45283,12094.57952,13780.03534,11627.90698,11243.24725,24842,35134,15531,5084,8109,4424,2628,836,729,1063,4523,5422,15599,164.8,121461
1979,2154.1,3053.0,1436.0,496.0,805.0,436.0,300.0,421.0,457.0,1162.0,14.0 ,"10,734.0 ",11716.26201,11734.35965,10726.32312,10106.85484,10140.37267,10238.53211,8543.333333,10562.94537,12229.7593,14185.02582,11718.75,11491.61543,25238,35825,15403,5013,8163,4464,2563,814,727,1022,4447,5589,16483,163,123350
1980,2169.5,3072.0,1434.0,496.0,798.0,430.0,286.0,428.0,479.0,1192.0,14.1 ,"10,799.0 ",12048.39825,12006.83594,11073.91911,10590.72581,10545.11278,10572.09302,8982.517483,11063.08411,12799.58246,14838.92617,11692.30769,11890.49912,26139,36885,15880,5253,8415,4546,2569,817,740,1012,4735,6131,17688,164.5,128406
1981,2180.0,3104.0,1430.0,500.0,798.0,429.0,278.0,434.0,506.6,1225.0,13.8 ,"10,898.0 ",12292.66055,12295.10309,11331.46853,11098,10776.94236,10839.16084,9525.179856,11094.47005,13213.58073,15089.79592,11811.02362,12183.00606,26798,38164,16204,5549,8600,4650,2648,860,792,996,4815,6694,18485,163.4,132770
1982,2205.0,3133.0,1433.0,506.0,796.0,427.0,276.0,440.0,530.0,1251.0,13.6 ,"11,011.0 ",12399.09297,12391.95659,11479.41382,10826.08696,11035.17588,10932.08431,9793.478261,11238.63636,13403.77358,15228.61711,11520,12306.31187,27340,38824,16450,5478,8784,4668,2703,900,828,975,4945,7104,19051,157.8,135505
1983,2215.9,3148.0,1430.0,513.0,798.0,421.0,278.0,441.0,538.6,1265.0,13.5 ,"11,059.0 ",12779.90884,12783.03685,11860.83916,11029.23977,11040.10025,11054.63183,9647.482014,11718.82086,13653.91756,15476.67984,11920,12622.07252,28319,40241,16961,5658,8810,4654,2682,883,845,954,5168,7354,19578,162.5,139588
1984,2172.6,3109.0,1362.0,480.0,771.0,390.0,264.0,420.0,525.6,1290.0,13.2 ,"10,793.0 ",12701.60177,12602.76616,11782.67254,10681.25,10691.30999,10894.87179,9651.515152,11852.38095,13548.32572,15579.84496,12231.40496,12540.66525,27595.5,39182,16048,5127,8243,4249,2548,847,808,893,4978,7121,20098,161.9,135351
