region,state,year,milk_produced
Northeast,Maine,1970,619000000
Northeast,New Hampshire,1970,356000000
Northeast,Vermont,1970,1970000000
Northeast,Massachusetts,1970,658000000
Northeast,Rhode Island,1970,75000000
Northeast,Connecticut,1970,661000000
Northeast,New York,1970,10341000000
Northeast,New Jersey,1970,730000000
Northeast,Pennsylvania,1970,7124000000
Northeast,Delaware,1970,130000000
Northeast,Maryland,1970,1560000000
Lake States,Michigan,1970,4602000000
Lake States,Wisconsin,1970,18435000000
Lake States,Minnesota,1970,9636000000
Corn Belt,Ohio,1970,4420000000
Corn Belt,Indiana,1970,2382000000
Corn Belt,Illinois,1970,2850000000
Corn Belt,Iowa,1970,4670000000
Corn Belt,Missouri,1970,3012000000
Northern Plains,North Dakota,1970,1065000000
Northern Plains,South Dakota,1970,1578000000
Northern Plains,Nebraska,1970,1566000000
Northern Plains,Kansas,1970,1740000000
Appalachian,Virginia,1970,1749000000
Appalachian,West Virginia,1970,374000000
Appalachian,North Carolina,1970,1485000000
Appalachian,Kentucky,1970,2471000000
Appalachian,Tennessee,1970,2123000000
Southeast,South Carolina,1970,512000000
Southeast,Georgia,1970,1182000000
Southeast,Florida,1970,1641000000
Southeast,Alabama,1970,816000000
Delta States,Mississippi,1970,1049000000
Delta States,Arkansas,1970,685000000
Delta States,Louisiana,1970,1089000000
Southern Plains,Oklahoma,1970,1250000000
Southern Plains,Texas,1970,3065000000
Mountain,Montana,1970,326000000
Mountain,Idaho,1970,1490000000
Mountain,Wyoming,1970,140000000
Mountain,Colorado,1970,856000000
Mountain,New Mexico,1970,304000000
Mountain,Arizona,1970,585000000
Mountain,Utah,1970,819000000
Mountain,Nevada,1970,142000000
Pacific,Washington,1970,2091000000
Pacific,Oregon,1970,970000000
Pacific,California,1970,9457000000
Pacific,Alaska,1970,19000000
Pacific,Hawaii,1970,137000000
Northeast,Maine,1971,629000000
Northeast,New Hampshire,1971,359000000
Northeast,Vermont,1971,2025000000
Northeast,Massachusetts,1971,658000000
Northeast,Rhode Island,1971,70000000
Northeast,Connecticut,1971,660000000
Northeast,New York,1971,10431000000
Northeast,New Jersey,1971,684000000
Northeast,Pennsylvania,1971,7155000000
Northeast,Delaware,1971,133000000
Northeast,Maryland,1971,1564000000
Lake States,Michigan,1971,4796000000
Lake States,Wisconsin,1971,18848000000
Lake States,Minnesota,1971,9618000000
Corn Belt,Ohio,1971,4488000000
Corn Belt,Indiana,1971,2430000000
Corn Belt,Illinois,1971,2814000000
Corn Belt,Iowa,1971,4577000000
Corn Belt,Missouri,1971,2999000000
Northern Plains,North Dakota,1971,1023000000
Northern Plains,South Dakota,1971,1572000000
Northern Plains,Nebraska,1971,1569000000
Northern Plains,Kansas,1971,1688000000
Appalachian,Virginia,1971,1751000000
Appalachian,West Virginia,1971,363000000
Appalachian,North Carolina,1971,1500000000
Appalachian,Kentucky,1971,2480000000
Appalachian,Tennessee,1971,2122000000
Southeast,South Carolina,1971,516000000
Southeast,Georgia,1971,1188000000
Southeast,Florida,1971,1785000000
Southeast,Alabama,1971,819000000
Delta States,Mississippi,1971,1011000000
Delta States,Arkansas,1971,698000000
Delta States,Louisiana,1971,1129000000
Southern Plains,Oklahoma,1971,1260000000
Southern Plains,Texas,1971,3239000000
Mountain,Montana,1971,334000000
Mountain,Idaho,1971,1550000000
Mountain,Wyoming,1971,135000000
Mountain,Colorado,1971,885000000
Mountain,New Mexico,1971,312000000
Mountain,Arizona,1971,620000000
Mountain,Utah,1971,840000000
Mountain,Nevada,1971,141000000
Pacific,Washington,1971,2230000000
Pacific,Oregon,1971,1008000000
Pacific,California,1971,9710000000
Pacific,Alaska,1971,17000000
Pacific,Hawaii,1971,133000000
Northeast,Maine,1972,638000000
Northeast,New Hampshire,1972,353000000
Northeast,Vermont,1972,2039000000
Northeast,Massachusetts,1972,629000000
Northeast,Rhode Island,1972,69000000
Northeast,Connecticut,1972,643000000
Northeast,New York,1972,10306000000
Northeast,New Jersey,1972,645000000
Northeast,Pennsylvania,1972,7031000000
Northeast,Delaware,1972,132000000
Northeast,Maryland,1972,1536000000
Lake States,Michigan,1972,4966000000
Lake States,Wisconsin,1972,19226000000
Lake States,Minnesota,1972,9580000000
Corn Belt,Ohio,1972,4573000000
Corn Belt,Indiana,1972,2454000000
Corn Belt,Illinois,1972,2838000000
Corn Belt,Iowa,1972,4400000000
Corn Belt,Missouri,1972,3025000000
Northern Plains,North Dakota,1972,994000000
Northern Plains,South Dakota,1972,1591000000
Northern Plains,Nebraska,1972,1610000000
Northern Plains,Kansas,1972,1629000000
Appalachian,Virginia,1972,1760000000
Appalachian,West Virginia,1972,345000000
Appalachian,North Carolina,1972,1537000000
Appalachian,Kentucky,1972,2530000000
Appalachian,Tennessee,1972,2217000000
Southeast,South Carolina,1972,518000000
Southeast,Georgia,1972,1235000000
Southeast,Florida,1972,1867000000
Southeast,Alabama,1972,820000000
Delta States,Mississippi,1972,993000000
Delta States,Arkansas,1972,728000000
Delta States,Louisiana,1972,1132000000
Southern Plains,Oklahoma,1972,1235000000
Southern Plains,Texas,1972,3340000000
Mountain,Montana,1972,334000000
Mountain,Idaho,1972,1663000000
Mountain,Wyoming,1972,135000000
Mountain,Colorado,1972,880000000
Mountain,New Mexico,1972,326000000
Mountain,Arizona,1972,640000000
Mountain,Utah,1972,874000000
Mountain,Nevada,1972,143000000
Pacific,Washington,1972,2307000000
Pacific,Oregon,1972,1005000000
Pacific,California,1972,10400000000
Pacific,Alaska,1972,18000000
Pacific,Hawaii,1972,136000000
Northeast,Maine,1973,614000000
Northeast,New Hampshire,1973,337000000
Northeast,Vermont,1973,1948000000
Northeast,Massachusetts,1973,595000000
Northeast,Rhode Island,1973,64000000
Northeast,Connecticut,1973,614000000
Northeast,New York,1973,9728000000
Northeast,New Jersey,1973,575000000
Northeast,Pennsylvania,1973,6718000000
Northeast,Delaware,1973,128000000
Northeast,Maryland,1973,1464000000
Lake States,Michigan,1973,4636000000
Lake States,Wisconsin,1973,18442000000
Lake States,Minnesota,1973,9271000000
Corn Belt,Ohio,1973,4267000000
Corn Belt,Indiana,1973,2329000000
Corn Belt,Illinois,1973,2673000000
Corn Belt,Iowa,1973,4180000000
Corn Belt,Missouri,1973,2992000000
Northern Plains,North Dakota,1973,1044000000
Northern Plains,South Dakota,1973,1642000000
Northern Plains,Nebraska,1973,1542000000
Northern Plains,Kansas,1973,1505000000
Appalachian,Virginia,1973,1690000000
Appalachian,West Virginia,1973,333000000
Appalachian,North Carolina,1973,1490000000
Appalachian,Kentucky,1973,2330000000
Appalachian,Tennessee,1973,2057000000
Southeast,South Carolina,1973,497000000
Southeast,Georgia,1973,1168000000
Southeast,Florida,1973,1843000000
Southeast,Alabama,1973,785000000
Delta States,Mississippi,1973,950000000
Delta States,Arkansas,1973,706000000
Delta States,Louisiana,1973,1062000000
Southern Plains,Oklahoma,1973,1140000000
Southern Plains,Texas,1973,3280000000
Mountain,Montana,1973,312000000
Mountain,Idaho,1973,1657000000
Mountain,Wyoming,1973,130000000
Mountain,Colorado,1973,854000000
Mountain,New Mexico,1973,318000000
Mountain,Arizona,1973,737000000
Mountain,Utah,1973,866000000
Mountain,Nevada,1973,144000000
Pacific,Washington,1973,2338000000
Pacific,Oregon,1973,1008000000
Pacific,California,1973,10332000000
Pacific,Alaska,1973,18000000
Pacific,Hawaii,1973,138000000
Northeast,Maine,1974,611000000
Northeast,New Hampshire,1974,329000000
Northeast,Vermont,1974,1945000000
Northeast,Massachusetts,1974,593000000
Northeast,Rhode Island,1974,63000000
Northeast,Connecticut,1974,613000000
Northeast,New York,1974,9822000000
Northeast,New Jersey,1974,551000000
Northeast,Pennsylvania,1974,6980000000
Northeast,Delaware,1974,128000000
Northeast,Maryland,1974,1505000000
Lake States,Michigan,1974,4350000000
Lake States,Wisconsin,1974,18713000000
Lake States,Minnesota,1974,9382000000
Corn Belt,Ohio,1974,4221000000
Corn Belt,Indiana,1974,2260000000
